Message_ID,Date_Time,Channel,Sender_Role,Recipient_Type,External,Attachment_Flag,Subject_or_Title,Body_Text
MSG-0001,2026-02-19 04:20,Email,Ops,Vendor,Y,N,Next steps,Appreciate your help. Please keep all client data in the secure portal and avoid sharing sensitive details via email.
MSG-0002,2026-02-13 18:06,Email,Ops,Internal,N,N,Proposal edits,Thanks for the update. Please upload the onboarding deck to the client vault and confirm receipt.
MSG-0003,2026-02-17 03:35,Email,Sales,Internal,N,N,Follow-up materials,Following up on our last note. Please upload the policy update to the client vault and confirm receipt.
MSG-0004,2026-01-27 02:25,Social,PM,Vendor,Y,Y,Disclosure review,Following up on our last note. Please keep all client data in the shared drive and avoid sharing sensitive details via email.
MSG-0005,2026-01-25 16:33,Social,Analyst,Vendor,Y,N,Draft review,Past performance shows strong annualized results. For the initial review step. Let’s route this through compliance before sharing.
MSG-0006,2026-01-24 00:41,Marketing Draft,Sales,Internal,N,Y,Proposal edits,Our track record reflects solid long-term returns. In preparation for by end of day. Flag this if you think we need disclosures.
MSG-0007,2026-01-04 21:55,Social,PM,Internal,N,N,Portal access,Circling back. We’ll share the final version of the performance summary once compliance review is complete.
MSG-0008,2026-01-16 15:36,Social,IR,Vendor,Y,Y,Template update,We received strong public endorsements. In preparation for by end of day. Please advise on next steps.
MSG-0009,2026-01-17 06:32,Chat,PM,Internal,N,N,Disclosure review,Thanks for the update. We’ll share the final version of the due diligence packet once stakeholder sign-off is complete.
MSG-0010,2026-01-11 10:21,Marketing Draft,Compliance,Prospect,Y,Y,Next steps,Appreciate your help. Please upload the onboarding deck to the shared drive and confirm receipt.
MSG-0011,2026-02-20 17:15,Social,Ops,Internal,N,N,Template update,Appreciate your help. We’ll share the final version of the due diligence packet once initial review is complete.
MSG-0012,2026-01-05 21:06,Marketing Draft,Analyst,Prospect,Y,Y,Service update,Quick follow-up. Let’s schedule a call to walk through the policy update and align on compliance review.
MSG-0013,2026-01-30 18:19,Social,IR,Client,Y,N,Reporting question,Appreciate your help. Please keep all client data in the compliance repository and avoid sharing sensitive details via email.
MSG-0014,2026-02-01 02:13,Marketing Draft,Analyst,Vendor,Y,Y,Portal access,Circling back. We’ll share the final version of the onboarding deck once stakeholder sign-off is complete.
