Rule_ID,Category,Trigger_Phrases,Rationale,Example_Flagged_Text,Severity_Guide
MKT-01,Marketing/Performance,guaranteed; no risk; can't lose; risk-free; assured return,Guarantee/no-risk claims are high-risk marketing statements and can be misleading to clients/prospects.,This strategy is guaranteed to produce returns with no risk.,High if external; Medium if internal draft
MKT-02,Marketing/Performance,beat the market; outperform; top-performing; double your money; best-in-class,Unsubstantiated performance comparisons or exaggerated claims can be misleading and require strong substantiation and appropriate context.,We consistently beat the market and are top-performing in our category.,Medium if external; Low-Med if internal
MKT-03,Marketing/Performance,testimonial; client said; review; 5-star; rating; endorsed; recommended,"Testimonials/endorsements/ratings create marketing rule risk; need controls, disclosures, and approval workflows.",A client review says we are a 5-star firm—let's add it to the deck draft.,Medium if external use; Low if only internal discussion
MKT-04,Marketing/Performance,past performance; track record; returns were; annualized; IRR; gross returns; net returns,Performance references often require context and consistency; missing qualifiers can mislead.,Past performance shows a 22% annualized return.,Medium if external without context; Low if internal draft for review
REC-01,Recordkeeping/Off-Channel,WhatsApp; Signal; Telegram; DM; text me; iMessage; call my cell,Moving business communications off approved channels can create recordkeeping failures and supervision gaps.,Text me on WhatsApp so we don't have to email.,High if external/client-related; Medium if internal only
REC-02,Recordkeeping/Off-Channel,personal email; gmail; yahoo; send to my personal; non-work email,Business communications on personal accounts undermine supervision and retention controls.,Send the details to my Gmail so I can review tonight.,High if client/prospect; Medium otherwise
REC-03,Recordkeeping/Concealment,delete this; off the record; don't put in email; wipe; remove this; let's not document,Language suggesting concealment or destruction of records indicates serious compliance risk.,Off the record—delete this after you read it.,High
MNPI-01,MNPI/Insider Trading,inside info; insider; non-public; tip; material nonpublic; not public yet,Potential MNPI indicators require immediate escalation and containment.,I got a non-public tip about their earnings.,High
MNPI-02,MNPI/Confidentiality,confidential deal; pending acquisition; leaked; embargoed; under NDA,Confidential transaction language can imply restricted information or NDA obligations; needs controlled handling.,This is under NDA—I'll share details once you're on the call.,High if trading/investment context; Medium otherwise
COI-01,Conflicts/Gifts,tickets; gift; dinner; trip; hospitality; entertainment; conference invite,Gifts/entertainment can create conflicts of interest and policy threshold issues; requires logging/approval.,They offered us tickets and a hotel for the conference.,Medium; High if value appears large or quid pro quo implied
COI-02,Conflicts/Compensation,referral fee; kickback; side deal; pay you; finder's fee; commission split,Improper compensation arrangements raise conflicts and regulatory risk; must be disclosed/approved.,They'll pay us a referral fee if we send clients their way.,High if external/client-related; Medium otherwise
PRI-01,Privacy/Data Leakage,SSN; social security; account number; routing number; wire instructions; passport; driver's license,Sharing sensitive personal data in insecure channels is a privacy and cybersecurity risk.,Here are the wire instructions and account number—please process ASAP.,High if actual sensitive data present; Medium if partial/placeholder
